time,pos,bid,score,first,trump,tricks
1539846726,2,1,11,0,S,"SA,C9,C8,C4;D2,S3,SJ,D6;H10,S4,HQ,S6"
1539846726,2,2,12,3,C,"DK,D4,CK,H10;C3,SK,CA,C5;HJ,H3,H4,H5;S5,S8,S7,H8"
1539846726,2,1,0,2,D,"D5,DJ,D9,DA;HJ,C3,H8,HA;H2,C4,H5,H6;D4,CK,C5,C8;S7,SQ,H3,C6"
1539846726,2,1,11,1,D,"CQ,C3,CK,D4;S8,S9,D7,SJ;C10,D9,C5,D10;D6,HA,H5,H6;DQ,S5,H9,HJ;C9,HK,C7,H8"
1539846726,2,2,0,0,H,"D8,D2,DK,D4;D7,S9,DQ,D3;C7,C4,C3,CQ;HA,C9,HJ,HK;D6,S7,D10,H9;S5,S3,C10,S6;H5,C5,HQ,CJ"
1539846726,2,1,0,3,C,"HQ,H9,H4,H8;HJ,H3,C4,H5;D7,D6,D4,CK;H7,C2,SK,H2;C9,CQ,DQ,CA;S8,SJ,S5,S10;C3,C6,DJ,S4;S6,D3,D9,S7"
1539846726,2,2,0,2,H,"S10,S8,SA,SK;H4,DA,DQ,DK;CA,C7,CQ,HK;H5,D4,D7,D3;CK,C6,C9,SQ;C10,H3,C4,S9;H8,HA,H2,D9;H7,HQ,D2,D8;C8,S5,C3,D6"
1539846726,2,5,0,1,D,"H3,HJ,HA,HK;CQ,CJ,CA,C3;S10,S8,SA,SQ;C6,C10,C8,D10;D2,H8,H7,HQ;DK,D9,D6,DQ;D7,H5,D4,H2;S5,S7,S4,SJ;D3,S6,C2,S3;D5,H6,C5,S9"
1539846726,2,4,0,0,C,"S4,SK,C3,SA;D2,D4,DA,DQ;HJ,CK,CA,CQ;D6,C4,DK,D5;S5,SQ,C7,S9;H3,C5,H2,HQ;S8,SJ,HK,S6;DJ,C8,H10,CJ;D9,C6,H9,C9;D8,S2,H7,H6;D7,S3,H8,C2"
1539846726,2,2,0,3,S,"SA,S7,SK,S8;HK,HA,H9,H10;CJ,CK,CA,C10;DJ,D7,DQ,DA;D10,S5,D8,DK;HQ,H7,H8,H4;S10,S6,H2,S3;S9,C2,D3,S2;S4,H3,D5,D2;D9,C3,H5,D6;C5,C4,C7,C9;D4,H6,C6,C8"
1539846726,2,2,0,0,C,"S10,SA,S3,SQ;S8,SJ,C2,C4;HJ,H7,HQ,HA;D7,D10,DQ,DA;D5,D6,D9,DK;CJ,C10,C8,CK;C5,C7,D2,C6;S7,S9,H2,DJ;H10,H4,D3,H6;S4,S5,D4,H9;S2,H5,D8,H8"
1539846726,2,2,0,1,C,"D7,D2,DK,DA;CQ,HA,C9,CA;SK,S3,SJ,SA;C2,DQ,D5,D10;HK,H3,H9,H10;S2,S6,S9,C3;HQ,SQ,D4,D9;H4,H6,C4,H2;S7,S8,S5,D6;H5,HJ,S4,C8"
1539846726,2,3,0,2,D,"SK,SQ,S3,SA;D5,D10,DQ,DJ;CA,CJ,CQ,C9;HQ,H6,HJ,H10;S10,SJ,D4,S8;C4,C6,C10,C7;H8,C3,H2,D8;D2,S6,H9,C5;S5,S7,D6,S4"
1539846726,2,4,0,3,S,"SA,SQ,S10,DK;SK,S8,S9,DQ;HK,HA,HJ,H2;C5,CK,CA,C2;D8,D6,DA,D9;D4,D2,D10,CQ;HQ,C4,H5,H3;S7,C10,D3,C8"
1539846726,2,3,0,0,D,"C2,CK,C10,C7;D2,DK,D10,D4;C4,C3,D7,H3;H5,SJ,HA,HJ;S2,S4,S10,S9;CJ,C9,S5,H7;C6,D6,H8,H9"
1539846726,2,2,0,1,H,"S10,CA,SA,S7;C7,C5,CJ,CQ;HJ,CK,H8,S6;DA,D8,DJ,D7;C4,C9,C6,DQ;D9,D10,D3,H7"
1539846726,2,1,0,2,H,"D5,DQ,D3,DK;HK,D2,H4,HQ;H10,D4,S6,H5;S4,S5,SJ,H2;C8,CA,C9,CQ"
1539846726,2,2,0,3,D,"CQ,C3,C8,D8;SQ,S8,D7,SA;D4,H10,DK,H3;S4,H8,C4,HQ"
1539846726,2,1,0,0,S,"S8,D7,CJ,DK;CA,HK,HQ,C9;H6,DJ,HA,SA"
